Description:,"Celsius-based heating degree days for a base temperature of 18.0C"
Source:,"www.degreedays.net (using temperature data from www.wunderground.com)"
Accuracy:,"Estimates were made to account for missing data: the ""% Estimated"" column shows how much each figure was affected (0% is best, 100% is worst)"
Station:,"Geneve-Cointrin, CH (6.13E,46.25N)"
Station ID:,"LSGG"

Date,HDD,% Estimated
2016-09-20,3.2,0
2016-09-21,3.1,0
2016-09-22,4.6,0
2016-09-23,3.3,0
2016-09-24,3.6,0
2016-09-25,2.9,0
2016-09-26,2.6,0
2016-09-27,2.1,0
2016-09-28,3.4,0
2016-09-29,2.9,0
2016-09-30,1.4,0
2016-10-01,2.3,0
2016-10-02,3.5,0
2016-10-03,7.4,0
2016-10-04,6.8,0
2016-10-05,6.6,0
2016-10-06,9.4,0
2016-10-07,8.1,0
2016-10-08,8,0
2016-10-09,10,0
2016-10-10,10.8,0
2016-10-11,9.6,0
2016-10-12,10.4,0
2016-10-13,10.4,0
2016-10-14,8.8,0
2016-10-15,5.9,0
2016-10-16,7.5,0
2016-10-17,6.7,0
2016-10-18,5.6,0
2016-10-19,9.1,0
2016-10-20,9.7,0
2016-10-21,11.3,0
2016-10-22,12.4,0
2016-10-23,10.6,0
2016-10-24,7.4,0
2016-10-25,5.1,0
2016-10-26,5,0
2016-10-27,6.2,0
2016-10-28,9.8,0
2016-10-29,8.8,0
2016-10-30,8.6,0
2016-10-31,10.6,0
2016-11-01,9.6,0
2016-11-02,8.3,0
2016-11-03,9.6,0
2016-11-04,10.1,0
2016-11-05,7.1,0
2016-11-06,11.7,0
2016-11-07,15,0
2016-11-08,16.1,0
2016-11-09,16.1,0
2016-11-10,12,0
2016-11-11,11.9,0
2016-11-12,16.1,0
2016-11-13,13.5,0
2016-11-14,13.6,0
2016-11-15,14,0
2016-11-16,13.5,0
2016-11-17,9.8,0
2016-11-18,6.9,0
2016-11-19,11,0
2016-11-20,8.8,0
2016-11-21,10.8,0
2016-11-22,9.1,0
2016-11-23,10.8,0
2016-11-24,10.7,0
2016-11-25,10.5,0
2016-11-26,10.9,0
2016-11-27,10.8,0
2016-11-28,13,0
2016-11-29,16.5,0
2016-11-30,18.1,0
2016-12-01,16.2,0
2016-12-02,16.7,0
2016-12-03,13.8,0
2016-12-04,15.4,0
2016-12-05,15.6,0
2016-12-06,15.6,0
2016-12-07,16.8,0
2016-12-08,18,0
2016-12-09,18.5,0
2016-12-10,18.8,0
2016-12-11,19.3,0
2016-12-12,16.7,0
2016-12-13,17.2,0
2016-12-14,17,0
2016-12-15,17,0
2016-12-16,16.1,0
2016-12-17,16.6,0
2016-12-18,17.2,0
2016-12-19,15.8,0
2016-12-20,15.4,0
2016-12-21,15.5,0
2016-12-22,16.9,0
2016-12-23,15.6,0
2016-12-24,14.6,0
2016-12-25,13.2,0
2016-12-26,15.2,0
2016-12-27,15.2,0
2016-12-28,15.6,0
2016-12-29,17.9,0
2016-12-30,19.2,0
2016-12-31,18.1,0
2017-01-01,19.4,0
2017-01-02,19.6,0
2017-01-03,17.4,0
2017-01-04,18.9,0
2017-01-05,17.2,0
2017-01-06,21,0
2017-01-07,21.9,0
2017-01-08,17.5,0
2017-01-09,18.6,0
2017-01-10,19.3,0
2017-01-11,17.9,0
2017-01-12,13.8,0
2017-01-13,16,0
2017-01-14,17.8,0
2017-01-15,19.7,0
2017-01-16,19.9,0
2017-01-17,20.6,0
2017-01-18,21.2,0
2017-01-19,20.9,0
2017-01-20,21,0
2017-01-21,20.6,0
2017-01-22,20.6,0
2017-01-23,20.3,0
2017-01-24,21.9,0
2017-01-25,21.8,0
2017-01-26,21.8,0
2017-01-27,20.4,0
2017-01-28,17.5,0
2017-01-29,15.5,0
2017-01-30,15,0
2017-01-31,11.9,0
2017-02-01,10.2,0
2017-02-02,13.3,0
2017-02-03,11,0
2017-02-04,12.6,0
2017-02-05,16.5,0
2017-02-06,14.3,0
2017-02-07,14.4,0
2017-02-08,13.5,0
2017-02-09,14.7,0
2017-02-10,15.8,0
2017-02-11,14,0
2017-02-12,13.7,0
2017-02-13,16.6,0
2017-02-14,14.3,0
2017-02-15,14.2,0
2017-02-16,13.6,0
2017-02-17,13.9,0
2017-02-18,15.8,0
2017-02-19,14.3,0
2017-02-20,13.2,0
2017-02-21,9.1,0
2017-02-22,7.6,0
2017-02-23,7.1,0
2017-02-24,10.3,0
2017-02-25,13.9,0
2017-02-26,12.3,0
2017-02-27,9.6,0
2017-02-28,9.9,0
2017-03-01,12.7,0
2017-03-02,10.1,0
2017-03-03,12.9,0
2017-03-04,12.5,0
2017-03-05,12,0
2017-03-06,12.2,0
2017-03-07,14.1,0
2017-03-08,14.2,0
2017-03-09,8.4,0
2017-03-10,8.3,0
2017-03-11,11.3,0
2017-03-12,10.3,0
2017-03-13,9.2,0
2017-03-14,9.5,0
2017-03-15,9.3,0
2017-03-16,8.7,0
2017-03-17,6.3,0
2017-03-18,7.3,0
2017-03-19,6.3,0
2017-03-20,6.5,0
2017-03-21,7.2,0
2017-03-22,9.1,0
2017-03-23,8.9,0
2017-03-24,8,0
2017-03-25,7.8,0
2017-03-26,8.8,0
2017-03-27,8.5,0
2017-03-28,6.1,0
2017-03-29,6.2,0
2017-03-30,6.1,0
2017-03-31,5.2,0
2017-04-01,7.1,0
2017-04-02,7.8,0
2017-04-03,6.3,0
2017-04-04,6,0
2017-04-05,7.3,0
2017-04-06,8.3,0
2017-04-07,6.5,0
2017-04-08,6.3,0
2017-04-09,5.5,0
2017-04-10,4.3,0
2017-04-11,5.4,0
2017-04-12,6.1,0
2017-04-13,5.6,0
2017-04-14,5.9,0
2017-04-15,5.8,0
2017-04-16,6.4,0
2017-04-17,8.3,0
2017-04-18,9.7,0
2017-04-19,12.6,0
2017-04-20,12.6,0
2017-04-21,9.9,0
2017-04-22,8,0
2017-04-23,7,0
2017-04-24,6,0
2017-04-25,6.1,0
2017-04-26,9.6,0
2017-04-27,13.1,0
2017-04-28,12.4,0
2017-04-29,11.4,0
2017-04-30,8.1,0
2017-05-01,10.8,0
2017-05-02,11.5,0
2017-05-03,8.3,0
2017-05-04,9,0
2017-05-05,7,0
2017-05-06,7.6,0
2017-05-07,7.2,0
2017-05-08,7,0
2017-05-09,7.2,0
2017-05-10,6.5,0
2017-05-11,5,0
2017-05-12,5.6,0
2017-05-13,4.1,0
2017-05-14,3.2,0
2017-05-15,3.2,0
2017-05-16,2.9,0
2017-05-17,2.2,0
2017-05-18,0.3,0
2017-05-19,6.4,0
2017-05-20,7.2,0
2017-05-21,5.2,0
2017-05-22,3.4,0
2017-05-23,2.2,0
2017-05-24,1.3,0
2017-05-25,0.8,0
2017-05-26,1.4,0
2017-05-27,1.1,0
2017-05-28,0.5,0
2017-05-29,0.6,0
2017-05-30,0.2,0
2017-05-31,0.1,0
2017-06-01,1.2,0
2017-06-02,1.2,0
2017-06-03,0.7,0
2017-06-04,1.1,0
2017-06-05,1.5,0
2017-06-06,3.9,0
2017-06-07,4,0
2017-06-08,4,0
2017-06-09,1.5,0
2017-06-10,0.4,0
2017-06-11,0.7,0
2017-06-12,0,0
2017-06-13,0,0
2017-06-14,0,0
2017-06-15,0,0
2017-06-16,0,0
2017-06-17,0.7,0
2017-06-18,0.1,0
2017-06-19,0.5,0
2017-06-20,0.1,0
2017-06-21,0,0
2017-06-22,0,0
2017-06-23,0,0
2017-06-24,0,0
2017-06-25,0,0
2017-06-26,0.6,0
2017-06-27,0.2,0
2017-06-28,0.7,0
